year,month,crop_type,soil_type,region,season,rainfall_mm,farmer_land_size_acres,pest_pressure,soil_fertility,crop_stage,previous_input_usage
2016,12,Rice,Laterite,Kerala,Rabi,235.79,1.22,Low,Low,Growth,Neem Oil
2018,12,Rice,Sandy,Bihar,Rabi,52.78,15.56,Medium,Medium,Sowing,Neem Oil
2024,9,Rice,Sandy,Uttar Pradesh,Kharif,1153.63,8.89,Low,Low,Growth,Neem Oil
2018,5,Rice,Alluvial,Gujarat,Zaid,732.43,1.04,Low,Low,Harvest,Neem Oil
2019,2,Rice,Black,Rajasthan,Rabi,314.42,11.24,Low,Medium,Sowing,Neem Oil
2017,1,Rice,Red,Rajasthan,Rabi,192.98,6.28,Low,High,Growth,Neem Oil
2024,9,Rice,Red,Punjab,Kharif,1436.03,12.02,Medium,High,Sowing,Neem Oil
2023,3,Rice,Black,Telangana,Rabi,135.08,8.3,Low,Medium,Harvest,Neem Oil
2018,1,Rice,Black,Maharashtra,Rabi,366.97,8.22,Low,Low,Harvest,Neem Oil
2017,10,Rice,Alluvial,Karnataka,Kharif,1732.79,15.66,Low,Medium,Sowing,Neem Oil
2021,6,Rice,Alluvial,Kerala,Kharif,1162.8,2.6,Low,Low,Harvest,Neem Oil
2017,10,Rice,Sandy,Chhattisgarh,Kharif,1849.91,1.76,Low,Low,Harvest,Neem Oil
2023,2,Rice,Sandy,Chhattisgarh,Rabi,491.75,5.77,Low,High,Harvest,Neem Oil
2024,8,Rice,Alluvial,Gujarat,Kharif,1163.66,18.35,Low,Medium,Harvest,Neem Oil
2023,7,Rice,Black,Karnataka,Kharif,761.6,4.47,Low,High,Sowing,Neem Oil
2020,5,Rice,Alluvial,Karnataka,Zaid,753.94,9.36,Low,Low,Growth,Neem Oil
2025,3,Rice,Alluvial,Punjab,Rabi,349.44,14.82,Low,Medium,Sowing,Neem Oil
2019,1,Rice,Alluvial,Uttar Pradesh,Rabi,197.25,7.71,Low,Medium,Sowing,Neem Oil
2020,11,Rice,Laterite,Gujarat,Rabi,123.94,14.79,Low,High,Harvest,Neem Oil
2018,6,Rice,Red,Jharkhand,Kharif,1506.83,7.6,Low,High,Sowing,Neem Oil
2024,2,Rice,Red,West Bengal,Rabi,251.93,16.72,Low,Medium,Growth,Neem Oil
2023,12,Rice,Sandy,Uttar Pradesh,Rabi,411.65,14.13,Low,Low,Harvest,Neem Oil
2019,5,Rice,Sandy,Odisha,Zaid,688.82,13.38,Low,Low,Growth,Neem Oil
2018,8,Rice,Laterite,Madhya Pradesh,Kharif,830.75,1.51,Low,High,Harvest,Neem Oil
2024,3,Rice,Red,Maharashtra,Rabi,358.64,2.97,Low,Low,Growth,Neem Oil
2020,11,Rice,Red,Rajasthan,Rabi,56.87,3.88,Low,Low,Growth,Neem Oil
2023,3,Rice,Alluvial,Bihar,Rabi,433.59,14.92,Low,High,Harvest,Neem Oil
2025,4,Rice,Laterite,Rajasthan,Zaid,293.13,15.31,Low,Medium,Harvest,Neem Oil
2024,9,Rice,Red,Maharashtra,Kharif,1100.45,16.41,Low,Medium,Sowing,Neem Oil
2024,3,Rice,Laterite,Chhattisgarh,Rabi,88.76,15.33,Low,High,Harvest,Neem Oil
2016,10,Rice,Black,Rajasthan,Kharif,1227.6,17.65,Low,Medium,Growth,Neem Oil
2023,10,Rice,Laterite,Uttar Pradesh,Kharif,1113.78,8.6,Low,Medium,Growth,Neem Oil
2021,2,Rice,Alluvial,Madhya Pradesh,Rabi,182.63,11.33,Low,Low,Harvest,Neem Oil
2023,7,Rice,Red,Kerala,Kharif,1753.17,11.56,Low,Medium,Growth,Neem Oil
2021,1,Rice,Sandy,Uttar Pradesh,Rabi,344.97,3.53,High,High,Harvest,Neem Oil
2018,1,Rice,Alluvial,Karnataka,Rabi,240.48,18.61,Low,Low,Harvest,Neem Oil
2019,7,Rice,Red,Assam,Kharif,1369.48,0.8,Low,Low,Harvest,Neem Oil
2020,3,Rice,Red,Odisha,Rabi,134.5,6.39,Low,Medium,Growth,Neem Oil
2022,10,Rice,Sandy,Haryana,Kharif,1979.77,8.24,Low,Medium,Harvest,Neem Oil
2016,7,Rice,Laterite,Punjab,Kharif,1210.87,14.92,Low,Low,Growth,Neem Oil
2024,2,Rice,Sandy,Tamil Nadu,Rabi,129.08,14.9,High,Medium,Sowing,Neem Oil
2024,9,Rice,Laterite,Uttar Pradesh,Kharif,1301.38,18.23,Low,High,Growth,Neem Oil
2020,12,Rice,Alluvial,Telangana,Rabi,404.52,2.89,Low,High,Sowing,Neem Oil
2022,10,Rice,Alluvial,Tamil Nadu,Kharif,1047.21,16.58,Low,Medium,Growth,Neem Oil
2023,12,Rice,Black,Andhra Pradesh,Rabi,396.07,8.85,Low,High,Sowing,Neem Oil
2024,10,Rice,Laterite,Andhra Pradesh,Kharif,925.55,1.35,Low,Medium,Growth,Neem Oil
2018,3,Rice,Black,Rajasthan,Rabi,219.9,19.24,Low,Low,Growth,Neem Oil
2022,11,Rice,Black,Tamil Nadu,Rabi,91.31,18.52,Low,Medium,Growth,Neem Oil
2018,4,Rice,Black,Rajasthan,Zaid,656.05,11.34,Low,Low,Sowing,Neem Oil
2022,12,Rice,Sandy,Rajasthan,Rabi,66.83,19.35,Low,High,Sowing,Neem Oil
2021,3,Rice,Alluvial,Uttar Pradesh,Rabi,140.0,19.75,Low,Medium,Growth,Neem Oil
2016,6,Rice,Black,Jharkhand,Kharif,1676.31,10.93,Low,Medium,Growth,Neem Oil
2023,2,Rice,Alluvial,Haryana,Rabi,158.18,5.49,Low,Low,Harvest,Neem Oil
2019,2,Rice,Alluvial,Punjab,Rabi,64.21,13.62,Low,High,Harvest,Neem Oil
2017,8,Rice,Red,Uttar Pradesh,Kharif,910.77,8.74,Low,Medium,Harvest,Neem Oil
2019,6,Rice,Alluvial,Andhra Pradesh,Kharif,1890.2,5.42,Low,Low,Harvest,Neem Oil
2024,5,Rice,Laterite,Chhattisgarh,Zaid,499.12,17.95,Low,Low,Harvest,Neem Oil
2017,4,Rice,Black,Telangana,Zaid,469.81,8.19,Medium,Low,Sowing,Neem Oil
2025,11,Rice,Laterite,Uttar Pradesh,Rabi,278.64,12.0,Low,High,Sowing,Neem Oil
2025,4,Rice,Laterite,Jharkhand,Zaid,427.35,17.01,Low,Low,Harvest,Neem Oil
2019,9,Rice,Alluvial,Maharashtra,Kharif,602.32,11.17,Low,Medium,Growth,Neem Oil
2019,8,Rice,Red,Punjab,Kharif,1836.79,0.93,Low,High,Growth,Neem Oil
2017,1,Rice,Black,Odisha,Rabi,399.84,14.67,Low,High,Sowing,Neem Oil
2016,7,Rice,Laterite,Tamil Nadu,Kharif,805.32,3.82,Low,Low,Harvest,Neem Oil
2020,7,Rice,Laterite,Telangana,Kharif,784.92,11.12,Low,Low,Harvest,Neem Oil
2025,3,Rice,Red,Telangana,Rabi,146.45,11.27,Low,Low,Harvest,Neem Oil
2022,10,Rice,Alluvial,Kerala,Kharif,1793.56,6.34,Low,Medium,Harvest,Neem Oil
2023,9,Rice,Alluvial,Punjab,Kharif,1745.19,13.83,Low,Medium,Harvest,Neem Oil
2017,7,Rice,Alluvial,Jharkhand,Kharif,1950.25,5.31,Low,High,Harvest,Neem Oil
2025,5,Rice,Alluvial,Tamil Nadu,Zaid,302.44,1.12,Low,Medium,Growth,Neem Oil
2018,12,Rice,Sandy,Uttar Pradesh,Rabi,374.69,12.72,Low,High,Growth,Neem Oil
2021,2,Rice,Black,Chhattisgarh,Rabi,409.25,9.53,Low,Low,Sowing,Neem Oil
2018,6,Rice,Laterite,Maharashtra,Kharif,1616.23,14.08,Low,Low,Sowing,Neem Oil
2023,3,Rice,Alluvial,Odisha,Rabi,454.89,2.41,Low,Medium,Sowing,Neem Oil
2020,3,Rice,Laterite,Assam,Rabi,242.67,15.93,Low,Medium,Harvest,Neem Oil
2019,5,Rice,Sandy,Haryana,Zaid,223.42,0.8,Low,High,Growth,Neem Oil
2019,11,Rice,Black,Assam,Rabi,192.73,5.5,Medium,Medium,Harvest,Neem Oil
2023,1,Rice,Sandy,Tamil Nadu,Rabi,376.44,9.8,Low,Low,Harvest,Neem Oil
2016,11,Rice,Sandy,Chhattisgarh,Rabi,70.91,11.11,High,Medium,Harvest,Neem Oil
2025,3,Rice,Laterite,West Bengal,Rabi,67.34,4.88,High,Low,Harvest,Neem Oil
2018,10,Rice,Laterite,Punjab,Kharif,1490.97,14.2,High,Medium,Harvest,Neem Oil
2022,2,Rice,Black,Punjab,Rabi,457.8,4.77,Low,Medium,Harvest,Neem Oil
2018,5,Rice,Red,Madhya Pradesh,Zaid,418.68,13.61,Low,High,Growth,Neem Oil
2021,2,Rice,Red,Rajasthan,Rabi,436.41,6.26,Low,Medium,Harvest,Neem Oil
2025,2,Rice,Laterite,Kerala,Rabi,234.34,6.47,Low,High,Growth,Neem Oil
2017,4,Rice,Red,Haryana,Zaid,629.83,7.78,Low,Low,Sowing,Neem Oil
2023,10,Rice,Sandy,Telangana,Kharif,1914.27,11.64,Low,High,Sowing,Neem Oil
2018,11,Rice,Laterite,Telangana,Rabi,319.28,11.71,Low,Medium,Sowing,Neem Oil
2023,5,Rice,Red,Andhra Pradesh,Zaid,215.79,14.01,Low,High,Harvest,Neem Oil
2024,8,Rice,Alluvial,Karnataka,Kharif,1456.1,9.02,Low,Medium,Harvest,Neem Oil
2020,10,Rice,Black,Bihar,Kharif,1577.05,19.52,Low,Low,Harvest,Neem Oil
2021,1,Rice,Laterite,Chhattisgarh,Rabi,489.86,17.32,Low,Low,Sowing,Neem Oil
2019,9,Rice,Red,Madhya Pradesh,Kharif,921.74,5.16,Low,Low,Harvest,Neem Oil
2016,7,Rice,Black,Andhra Pradesh,Kharif,1024.11,12.09,Low,Low,Sowing,Neem Oil
2017,10,Rice,Black,Rajasthan,Kharif,805.49,14.96,Low,Low,Growth,Neem Oil
2019,12,Rice,Alluvial,Odisha,Rabi,333.52,5.94,Low,High,Sowing,Neem Oil
2022,9,Rice,Black,West Bengal,Kharif,1094.72,14.21,Low,High,Harvest,Neem Oil
2016,7,Rice,Black,Chhattisgarh,Kharif,1972.56,14.89,Low,Low,Growth,Neem Oil
2025,2,Rice,Black,Odisha,Rabi,276.73,12.68,Medium,Medium,Harvest,Neem Oil
2018,6,Rice,Black,Bihar,Kharif,1817.63,13.43,Low,Medium,Harvest,Neem Oil
2017,1,Rice,Laterite,West Bengal,Rabi,483.09,6.59,Low,Medium,Sowing,Neem Oil
2017,6,Rice,Black,Assam,Kharif,1162.97,18.17,Medium,Medium,Growth,Neem Oil
2025,10,Rice,Red,Bihar,Kharif,652.13,1.17,Low,High,Harvest,Neem Oil
2024,7,Rice,Alluvial,Madhya Pradesh,Kharif,1123.75,5.9,Low,Low,Harvest,Neem Oil
2016,12,Rice,Red,Haryana,Rabi,355.81,4.6,Low,Medium,Harvest,Neem Oil
2025,5,Rice,Laterite,Haryana,Zaid,781.22,3.03,Low,Low,Growth,Neem Oil
2019,11,Rice,Sandy,Rajasthan,Rabi,237.75,16.41,Low,Low,Growth,Neem Oil
2019,3,Rice,Laterite,Gujarat,Rabi,391.25,13.97,Low,Low,Growth,Neem Oil
2025,2,Rice,Laterite,Uttar Pradesh,Rabi,309.34,10.68,Low,Low,Growth,Neem Oil
2021,9,Rice,Sandy,Rajasthan,Kharif,1987.14,8.28,Low,High,Growth,Neem Oil
2017,10,Rice,Alluvial,West Bengal,Kharif,1728.43,11.98,Low,Low,Sowing,Neem Oil
2016,3,Rice,Black,Telangana,Rabi,425.06,3.27,Low,Medium,Harvest,Neem Oil
2020,8,Rice,Alluvial,Punjab,Kharif,1702.39,3.19,Low,Low,Sowing,Neem Oil
2020,7,Rice,Red,Assam,Kharif,1242.23,4.77,Low,High,Sowing,Neem Oil
2024,2,Rice,Alluvial,Tamil Nadu,Rabi,224.27,13.81,Low,High,Sowing,Neem Oil
2024,2,Rice,Black,Telangana,Rabi,462.54,4.12,Low,Medium,Growth,Neem Oil
2017,4,Rice,Alluvial,Chhattisgarh,Zaid,526.01,18.11,Low,Low,Growth,Neem Oil
2016,7,Rice,Laterite,Andhra Pradesh,Kharif,1324.8,16.24,High,Medium,Growth,Neem Oil
2023,11,Rice,Laterite,Odisha,Rabi,119.59,17.92,Low,Low,Sowing,Neem Oil
2024,11,Rice,Laterite,Karnataka,Rabi,74.72,8.84,Medium,Medium,Harvest,Neem Oil
2016,4,Rice,Alluvial,West Bengal,Zaid,484.36,16.44,Low,Low,Harvest,Neem Oil
2017,10,Rice,Black,Karnataka,Kharif,1620.53,0.64,Low,Low,Growth,Neem Oil
2017,12,Rice,Red,Rajasthan,Rabi,324.4,5.35,Low,Low,Harvest,Neem Oil
2024,12,Rice,Alluvial,Telangana,Rabi,64.66,14.19,Low,Low,Sowing,Neem Oil
2022,11,Rice,Red,West Bengal,Rabi,484.73,12.61,Low,Medium,Sowing,Neem Oil
2018,8,Rice,Laterite,Uttar Pradesh,Kharif,1214.06,12.61,Low,Low,Growth,Neem Oil
2019,9,Rice,Alluvial,Jharkhand,Kharif,1706.01,4.88,Low,Low,Growth,Neem Oil
2016,7,Rice,Red,West Bengal,Kharif,1502.6,10.82,Low,High,Sowing,Neem Oil
2018,4,Rice,Black,Tamil Nadu,Zaid,639.58,8.54,Low,Low,Sowing,Neem Oil
2018,1,Rice,Laterite,Telangana,Rabi,498.14,4.19,Low,Medium,Growth,Neem Oil
2016,11,Rice,Black,Karnataka,Rabi,198.5,14.77,Low,Medium,Sowing,Neem Oil
2023,9,Rice,Laterite,Gujarat,Kharif,1098.25,10.54,Low,Medium,Growth,Neem Oil
2016,3,Rice,Black,Odisha,Rabi,424.0,2.07,Low,High,Harvest,Neem Oil
2023,10,Rice,Laterite,West Bengal,Kharif,1824.2,18.98,Low,High,Harvest,Neem Oil
2018,5,Rice,Red,Gujarat,Zaid,620.68,8.84,Low,Medium,Harvest,Neem Oil
2019,7,Rice,Laterite,Chhattisgarh,Kharif,1813.05,9.57,Low,Medium,Harvest,Neem Oil
2024,2,Rice,Sandy,Maharashtra,Rabi,286.97,5.28,High,High,Growth,Neem Oil
2019,5,Rice,Alluvial,Telangana,Zaid,420.56,6.24,Low,High,Growth,Neem Oil
2019,11,Rice,Red,Karnataka,Rabi,314.88,6.95,Low,High,Growth,Neem Oil
2021,11,Rice,Red,Telangana,Rabi,100.19,16.31,Low,High,Sowing,Neem Oil
2017,4,Rice,Sandy,Gujarat,Zaid,312.28,15.87,Low,Low,Harvest,Neem Oil
2025,5,Rice,Sandy,Bihar,Zaid,625.36,5.85,Low,Medium,Growth,Neem Oil
2016,8,Rice,Laterite,Andhra Pradesh,Kharif,915.62,11.8,Low,Medium,Growth,Neem Oil
2020,1,Rice,Laterite,Maharashtra,Rabi,436.72,9.19,Low,High,Harvest,Neem Oil
2016,2,Rice,Alluvial,Gujarat,Rabi,60.6,12.79,Medium,Medium,Growth,Glyphosate
2017,8,Rice,Alluvial,Rajasthan,Kharif,1455.66,18.6,High,Medium,Growth,Glyphosate
2019,11,Rice,Laterite,Rajasthan,Rabi,291.54,15.8,Medium,Medium,Sowing,Glyphosate
2021,7,Rice,Alluvial,Kerala,Kharif,724.2,13.99,Medium,High,Sowing,Glyphosate
2017,3,Rice,Black,Tamil Nadu,Rabi,261.72,17.4,High,Low,Sowing,Glyphosate
2021,11,Rice,Laterite,West Bengal,Rabi,411.31,15.15,Medium,Medium,Growth,Glyphosate
2021,5,Rice,Alluvial,Maharashtra,Zaid,327.27,16.37,High,Low,Sowing,Glyphosate
2016,3,Rice,Red,Chhattisgarh,Rabi,407.07,12.51,Low,Medium,Sowing,Glyphosate
2016,9,Rice,Black,Maharashtra,Kharif,1447.15,11.13,High,High,Harvest,Glyphosate
2023,8,Rice,Black,Karnataka,Kharif,717.11,15.46,Low,Low,Sowing,Glyphosate
2021,5,Rice,Alluvial,West Bengal,Zaid,641.25,19.64,Medium,Medium,Growth,Glyphosate
2019,2,Rice,Black,Telangana,Rabi,63.32,11.67,Low,Medium,Growth,Glyphosate
2022,3,Rice,Red,Bihar,Rabi,214.37,13.23,Low,Medium,Growth,Glyphosate
2017,1,Rice,Sandy,Jharkhand,Rabi,356.51,16.81,Medium,Low,Sowing,Glyphosate
2021,12,Rice,Sandy,Maharashtra,Rabi,238.01,17.35,Low,Medium,Harvest,Glyphosate
2022,5,Rice,Laterite,Odisha,Zaid,428.56,17.09,Medium,Medium,Harvest,Glyphosate
2020,5,Rice,Red,Chhattisgarh,Zaid,337.16,19.43,Medium,Low,Growth,Glyphosate
2023,1,Rice,Sandy,Tamil Nadu,Rabi,292.55,15.15,Low,Low,Harvest,Glyphosate
2024,3,Rice,Laterite,Maharashtra,Rabi,495.39,19.01,High,Medium,Sowing,Glyphosate
2024,9,Rice,Red,Gujarat,Kharif,1744.93,20.0,Medium,Medium,Sowing,Glyphosate
2017,2,Rice,Black,Rajasthan,Rabi,92.21,16.18,Low,High,Growth,Glyphosate
2021,4,Rice,Alluvial,Telangana,Zaid,279.89,12.52,Low,Low,Sowing,Glyphosate
2020,12,Rice,Alluvial,Uttar Pradesh,Rabi,223.18,10.72,Low,Medium,Growth,Glyphosate
2025,10,Rice,Laterite,Haryana,Kharif,1117.69,19.78,High,Medium,Growth,Glyphosate
2019,1,Rice,Black,Kerala,Rabi,81.09,12.46,Low,Low,Growth,Glyphosate
2016,3,Rice,Alluvial,Uttar Pradesh,Rabi,353.5,15.6,Low,Low,Harvest,Glyphosate
2024,9,Rice,Sandy,West Bengal,Kharif,1314.32,18.58,Medium,Low,Growth,Glyphosate
2024,3,Rice,Red,West Bengal,Rabi,150.48,10.36,Low,Medium,Growth,Glyphosate
2019,5,Rice,Black,Madhya Pradesh,Zaid,785.6,17.63,High,Medium,Growth,Glyphosate
2017,7,Rice,Red,Gujarat,Kharif,1771.26,15.99,Medium,Medium,Harvest,Glyphosate
2016,3,Rice,Alluvial,Telangana,Rabi,330.34,19.68,Low,Low,Harvest,Glyphosate
2021,2,Rice,Laterite,Chhattisgarh,Rabi,333.15,14.53,Low,Low,Growth,Glyphosate
2018,5,Rice,Red,Assam,Zaid,692.21,13.28,Low,Low,Sowing,Glyphosate
2017,1,Rice,Alluvial,Haryana,Rabi,260.93,15.9,Low,Low,Sowing,Glyphosate
2020,10,Rice,Sandy,Punjab,Kharif,1141.5,13.73,Low,Low,Harvest,Glyphosate
2023,2,Rice,Sandy,Gujarat,Rabi,442.6,14.88,High,Low,Growth,Glyphosate
2019,11,Rice,Red,Rajasthan,Rabi,487.55,18.93,High,High,Harvest,Glyphosate
2022,11,Rice,Black,Haryana,Rabi,368.44,17.61,High,High,Sowing,Glyphosate
2017,8,Rice,Laterite,Kerala,Kharif,1044.98,19.83,Low,High,Harvest,Glyphosate
2021,8,Rice,Red,Punjab,Kharif,1861.42,19.62,Low,High,Sowing,Glyphosate
2025,7,Rice,Sandy,Chhattisgarh,Kharif,1651.13,10.61,Medium,Medium,Sowing,Glyphosate
2022,5,Rice,Sandy,Rajasthan,Zaid,248.9,14.91,High,Medium,Harvest,Glyphosate
2019,12,Rice,Sandy,Gujarat,Rabi,278.26,13.16,High,Low,Sowing,Glyphosate
2023,1,Rice,Black,Assam,Rabi,442.83,12.86,Low,Low,Harvest,Glyphosate
2019,10,Rice,Black,Madhya Pradesh,Kharif,1134.33,18.39,Low,High,Growth,Glyphosate
2017,3,Rice,Sandy,Uttar Pradesh,Rabi,419.54,14.22,High,Low,Harvest,Glyphosate
2023,3,Rice,Black,Chhattisgarh,Rabi,107.74,12.88,Low,High,Growth,Glyphosate
2019,10,Rice,Sandy,Telangana,Kharif,1685.49,17.01,High,Low,Sowing,Glyphosate
2021,4,Rice,Red,Kerala,Zaid,581.25,18.61,High,Medium,Harvest,Glyphosate
2016,8,Rice,Laterite,Telangana,Kharif,1991.65,18.39,High,Low,Growth,Glyphosate
2019,10,Rice,Sandy,Kerala,Kharif,1166.61,18.95,Low,Medium,Harvest,Glyphosate
2022,8,Rice,Laterite,West Bengal,Kharif,1340.54,17.99,Low,Medium,Harvest,Glyphosate
2024,1,Rice,Alluvial,Madhya Pradesh,Rabi,216.81,16.71,High,High,Sowing,Glyphosate
2019,3,Rice,Alluvial,West Bengal,Rabi,295.58,12.27,Medium,High,Sowing,Glyphosate
2022,12,Rice,Alluvial,Odisha,Rabi,128.58,16.59,Low,Medium,Growth,Glyphosate
2024,6,Rice,Alluvial,Odisha,Kharif,641.2,16.35,Low,Low,Harvest,Glyphosate
2018,3,Rice,Alluvial,Punjab,Rabi,64.26,16.33,High,Medium,Growth,Glyphosate
2017,8,Rice,Alluvial,Rajasthan,Kharif,1791.72,15.43,Low,High,Sowing,Glyphosate
2025,9,Rice,Black,Uttar Pradesh,Kharif,1309.23,13.96,Medium,High,Harvest,Glyphosate
2022,3,Rice,Sandy,Odisha,Rabi,309.39,16.33,High,Medium,Harvest,Glyphosate
2016,1,Rice,Red,Punjab,Rabi,413.67,10.33,Medium,Low,Harvest,Glyphosate
2021,5,Rice,Alluvial,Punjab,Zaid,219.7,12.54,Low,Low,Growth,Glyphosate
2023,7,Rice,Laterite,Madhya Pradesh,Kharif,1721.46,15.67,Low,Low,Sowing,Glyphosate
2017,10,Rice,Laterite,Chhattisgarh,Kharif,1808.97,13.66,High,High,Growth,Glyphosate
2021,3,Rice,Black,Punjab,Rabi,457.62,16.94,High,Low,Harvest,Glyphosate
2024,4,Rice,Laterite,Haryana,Zaid,352.64,19.27,Low,High,Growth,Glyphosate
2025,3,Rice,Laterite,Madhya Pradesh,Rabi,245.61,17.69,Medium,Low,Sowing,Glyphosate
2024,10,Rice,Red,Assam,Kharif,1705.9,15.77,Medium,Low,Sowing,Glyphosate
2021,3,Rice,Red,Madhya Pradesh,Rabi,389.13,15.52,Medium,Low,Growth,Glyphosate
2024,6,Rice,Sandy,Maharashtra,Kharif,1797.04,12.26,High,Medium,Sowing,Glyphosate
2021,3,Rice,Laterite,Tamil Nadu,Rabi,474.91,16.89,Low,Medium,Harvest,Glyphosate
2025,11,Rice,Black,Madhya Pradesh,Rabi,282.65,16.25,Low,Low,Growth,Glyphosate
2023,10,Rice,Laterite,Punjab,Kharif,1762.29,12.64,Medium,Low,Harvest,Glyphosate
2017,9,Rice,Black,Haryana,Kharif,1719.35,13.66,High,Medium,Sowing,Glyphosate
2016,11,Rice,Red,Odisha,Rabi,216.22,11.61,High,Low,Growth,Glyphosate
2022,8,Rice,Red,Tamil Nadu,Kharif,1114.6,18.29,High,High,Growth,Glyphosate
2017,11,Rice,Red,Jharkhand,Rabi,73.52,11.62,Low,Medium,Sowing,Glyphosate
2021,3,Rice,Black,Chhattisgarh,Rabi,335.45,12.7,High,Medium,Sowing,Glyphosate
2019,5,Rice,Alluvial,Madhya Pradesh,Zaid,775.17,10.68,High,Medium,Harvest,Glyphosate
2025,12,Rice,Red,Madhya Pradesh,Rabi,117.76,13.02,Low,Medium,Growth,Glyphosate
2019,11,Rice,Laterite,Chhattisgarh,Rabi,167.6,12.3,Low,Medium,Sowing,Glyphosate
2024,3,Rice,Sandy,Punjab,Rabi,180.06,11.74,Medium,High,Harvest,Glyphosate
2025,4,Rice,Black,Jharkhand,Zaid,768.79,15.59,Medium,Low,Harvest,Glyphosate
2020,2,Rice,Alluvial,Jharkhand,Rabi,189.69,11.5,High,Medium,Harvest,Glyphosate
2018,3,Rice,Black,Tamil Nadu,Rabi,55.8,11.94,Low,High,Sowing,Glyphosate
2022,5,Rice,Laterite,Assam,Zaid,752.12,14.38,Low,High,Harvest,Glyphosate
2019,3,Rice,Red,Karnataka,Rabi,311.64,18.64,Low,Low,Growth,Glyphosate
2016,1,Rice,Red,Karnataka,Rabi,93.74,14.13,Low,Medium,Harvest,Glyphosate
2017,6,Rice,Alluvial,Haryana,Kharif,1897.79,19.03,High,Medium,Harvest,Glyphosate
2024,5,Rice,Alluvial,Rajasthan,Zaid,297.13,13.54,Low,High,Growth,Glyphosate
2018,11,Rice,Black,Odisha,Rabi,313.2,16.04,Medium,Medium,Sowing,Glyphosate
2018,9,Rice,Red,Kerala,Kharif,1394.86,15.81,Low,High,Growth,Glyphosate
2025,5,Rice,Alluvial,Assam,Zaid,323.42,17.89,High,Low,Sowing,Glyphosate
2022,9,Rice,Alluvial,Jharkhand,Kharif,1651.06,17.67,Low,High,Sowing,Glyphosate
2017,10,Rice,Laterite,Kerala,Kharif,1095.18,16.8,High,High,Growth,Glyphosate
2022,10,Rice,Laterite,Odisha,Kharif,1932.95,18.35,High,Low,Harvest,Glyphosate
2020,4,Rice,Laterite,Jharkhand,Zaid,544.74,12.8,Low,Medium,Harvest,Glyphosate
2019,5,Rice,Laterite,Haryana,Zaid,398.22,14.3,Medium,Low,Sowing,Glyphosate
2025,7,Rice,Laterite,Karnataka,Kharif,1925.27,14.38,High,Low,Growth,Glyphosate
2018,6,Rice,Black,Kerala,Kharif,1664.37,10.66,High,Low,Sowing,Glyphosate
2017,11,Rice,Red,Chhattisgarh,Rabi,351.97,16.34,High,Medium,Harvest,Glyphosate
2018,4,Rice,Black,Assam,Zaid,305.74,17.08,High,High,Sowing,Glyphosate
2018,1,Rice,Alluvial,Gujarat,Rabi,176.69,19.25,High,Low,Sowing,Glyphosate
2017,12,Rice,Alluvial,Assam,Rabi,112.88,10.68,Medium,Medium,Harvest,Glyphosate
2020,6,Rice,Black,Karnataka,Kharif,1908.38,16.12,High,High,Growth,Glyphosate
2022,8,Rice,Black,Jharkhand,Kharif,1424.66,14.95,High,Medium,Harvest,Glyphosate
2018,8,Rice,Alluvial,Odisha,Kharif,885.15,15.6,High,Low,Sowing,Glyphosate
2023,2,Rice,Red,Chhattisgarh,Rabi,304.73,17.13,Low,Low,Harvest,Glyphosate
2024,7,Rice,Laterite,Maharashtra,Kharif,1861.64,18.61,Medium,Low,Harvest,Glyphosate
2023,3,Rice,Black,Gujarat,Rabi,196.47,14.83,High,Medium,Sowing,Glyphosate
2024,4,Rice,Sandy,Uttar Pradesh,Zaid,477.22,12.97,Medium,Medium,Harvest,Glyphosate
2023,10,Rice,Laterite,Chhattisgarh,Kharif,975.4,18.51,High,Medium,Harvest,Glyphosate
2016,2,Rice,Black,Telangana,Rabi,160.95,17.94,Medium,High,Growth,Glyphosate
2021,1,Rice,Sandy,Madhya Pradesh,Rabi,247.39,13.34,Low,High,Harvest,Glyphosate
2021,11,Rice,Laterite,Assam,Rabi,470.97,18.32,Low,Medium,Growth,Glyphosate
2025,6,Rice,Alluvial,Rajasthan,Kharif,714.82,10.77,Low,Low,Growth,Glyphosate
2018,1,Rice,Red,Kerala,Rabi,295.03,12.37,High,High,Sowing,Glyphosate
2018,3,Rice,Alluvial,Kerala,Rabi,466.1,17.26,Low,Medium,Harvest,Glyphosate
2023,2,Rice,Sandy,Haryana,Rabi,261.19,10.0,High,Low,Harvest,Glyphosate
2020,2,Rice,Sandy,Jharkhand,Rabi,194.76,16.57,Medium,Medium,Harvest,Glyphosate
2025,8,Rice,Sandy,Punjab,Kharif,958.01,19.48,High,High,Sowing,Glyphosate
2024,2,Rice,Sandy,Madhya Pradesh,Rabi,70.76,15.53,Medium,High,Sowing,Glyphosate
2017,4,Rice,Alluvial,Uttar Pradesh,Zaid,779.71,15.07,Medium,High,Harvest,Glyphosate
2021,3,Rice,Black,Madhya Pradesh,Rabi,215.44,12.7,High,Low,Harvest,Glyphosate
2020,12,Rice,Red,Kerala,Rabi,53.1,16.43,Low,Low,Growth,Glyphosate
2023,6,Rice,Red,Bihar,Kharif,1752.78,13.97,High,Medium,Sowing,Glyphosate
2025,5,Rice,Sandy,Uttar Pradesh,Zaid,216.17,10.75,Low,Low,Growth,Glyphosate
2019,6,Rice,Red,Haryana,Kharif,1765.42,16.13,Medium,Medium,Harvest,Glyphosate
